source_taxon_name,interaction_type,target_taxon_name_poor,target_taxon_name,target_taxon,notes,latitude,longitude,study_citation
Achillea millefolium,pollinatedBy,Odontomyia,Odontomyia,,,52.762395,1.575532,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43."
Achillea millefolium,pollinatedBy,Phaonia,Phaonia,,,52.762395,1.575532,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43."
Achillea millefolium,pollinatedBy,Helophilus,Helophilus,,,52.762395,1.575532,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43."
Achillea millefolium,pollinatedBy,Agathis,Agathis,,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Achillea millefolium,pollinatedBy,Tuttiola,Tuttiola,,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Achillea millefolium,pollinatedBy,Panzeria,Panzeria,,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Achillea millefolium,flowersVisitedBy,Vespula,Vespula,,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 05 May 2025.
Achillea millefolium,flowersVisitedBy,Occidryas anicia capella,Occidryas anicia capella,,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 05 May 2025.
Achillea millefolium,flowersVisitedBy,Euchloe ausonides ausonides,Euchloe ausonides ausonides,,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 05 May 2025.
Achillea millefolium,flowersVisitedBy,Phyciodes pulchella camillus,Phyciodes pulchella camillus,,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 05 May 2025.
Achillea millefolium,flowersVisitedBy,Parnassius smintheus smintheus,Parnassius smintheus smintheus,,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 05 May 2025.
Achillea millefolium,flowersVisitedBy,Speyeria atlantis sorocko,Speyeria atlantis sorocko,,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 05 May 2025.
Achillea millefolium,flowersVisitedBy,Polites sabuleti draco,Polites sabuleti draco,,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 05 May 2025.
Achillea millefolium,flowersVisitedBy,Lycaena dorcas florus,Lycaena dorcas florus,,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 05 May 2025.
Achillea millefolium,flowersVisitedBy,Phyciodes batesii apsaalooke,Phyciodes batesii apsaalooke,,,NA,NA,National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05. Accessed at <https://github.com/globalbioticinteractions/cpc-pollinators/archive/a64674001b3fce1c5a4896d8c29b4bcb024e6f0b.zip> on 05 May 2025.
Achillea millefolium,flowersVisitedBy,Botanophila sp.,Botanophila,,,47.17013,-98.77779,"Clint Otto, Russ Bryant, and Ned H. Euliss Jr., 2020, The U.S. Geological Survey Pollinator Library Dataset: U.S. Geological Survey. https://doi.org/10.5066/P9DSS3VL. Accessed at <https://www.sciencebase.gov/catalog/file/get/5f076d2082ce21d4c3fb7426?f=__disk__c5%2F05%2Fa4%2Fc505a40f8b320c4d1444ba286d4e7ec1143390a9> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Toxomerus sp.,Toxomerus,,,47.16281,-98.77761,"Clint Otto, Russ Bryant, and Ned H. Euliss Jr., 2020, The U.S. Geological Survey Pollinator Library Dataset: U.S. Geological Survey. https://doi.org/10.5066/P9DSS3VL. Accessed at <https://www.sciencebase.gov/catalog/file/get/5f076d2082ce21d4c3fb7426?f=__disk__c5%2F05%2Fa4%2Fc505a40f8b320c4d1444ba286d4e7ec1143390a9> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Cynomya,Cynomya,,,47.17363,-98.77581,"Clint Otto, Russ Bryant, and Ned H. Euliss Jr., 2020, The U.S. Geological Survey Pollinator Library Dataset: U.S. Geological Survey. https://doi.org/10.5066/P9DSS3VL. Accessed at <https://www.sciencebase.gov/catalog/file/get/5f076d2082ce21d4c3fb7426?f=__disk__c5%2F05%2Fa4%2Fc505a40f8b320c4d1444ba286d4e7ec1143390a9> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Cylindromyia,Cylindromyia,,,47.17615,-98.77923,"Clint Otto, Russ Bryant, and Ned H. Euliss Jr., 2020, The U.S. Geological Survey Pollinator Library Dataset: U.S. Geological Survey. https://doi.org/10.5066/P9DSS3VL. Accessed at <https://www.sciencebase.gov/catalog/file/get/5f076d2082ce21d4c3fb7426?f=__disk__c5%2F05%2Fa4%2Fc505a40f8b320c4d1444ba286d4e7ec1143390a9> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Tricimba,Tricimba,,,47.16641,-98.77573,"Clint Otto, Russ Bryant, and Ned H. Euliss Jr., 2020, The U.S. Geological Survey Pollinator Library Dataset: U.S. Geological Survey. https://doi.org/10.5066/P9DSS3VL. Accessed at <https://www.sciencebase.gov/catalog/file/get/5f076d2082ce21d4c3fb7426?f=__disk__c5%2F05%2Fa4%2Fc505a40f8b320c4d1444ba286d4e7ec1143390a9> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Nemotelus,Nemotelus,,,47.13453,-98.7973,"Clint Otto, Russ Bryant, and Ned H. Euliss Jr., 2020, The U.S. Geological Survey Pollinator Library Dataset: U.S. Geological Survey. https://doi.org/10.5066/P9DSS3VL. Accessed at <https://www.sciencebase.gov/catalog/file/get/5f076d2082ce21d4c3fb7426?f=__disk__c5%2F05%2Fa4%2Fc505a40f8b320c4d1444ba286d4e7ec1143390a9> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Stelis,Stelis,,,45.26,-110.47,"LaManna, JA, Burkle, LA, Belote, RT, Myers, JA. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. J Ecol. 2020; 00: 1– 14. https://doi.org/10.1111/1365-2745.13530 . Accessed at <https://github.com/globalbioticinteractions/lamanna2020/archive/f8f0791ae6261bf65eee5156413c5c3a370a4359.zip> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Paravilla,Paravilla,,,46.71,-111.73,"LaManna, JA, Burkle, LA, Belote, RT, Myers, JA. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. J Ecol. 2020; 00: 1– 14. https://doi.org/10.1111/1365-2745.13530 . Accessed at <https://github.com/globalbioticinteractions/lamanna2020/archive/f8f0791ae6261bf65eee5156413c5c3a370a4359.zip> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Pantarbes,Pantarbes,,,46.81,-111.9,"LaManna, JA, Burkle, LA, Belote, RT, Myers, JA. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. J Ecol. 2020; 00: 1– 14. https://doi.org/10.1111/1365-2745.13530 . Accessed at <https://github.com/globalbioticinteractions/lamanna2020/archive/f8f0791ae6261bf65eee5156413c5c3a370a4359.zip> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Cercyonis oetus charon,Cercyonis oetus charon,,,46.74,-111.76,"LaManna, JA, Burkle, LA, Belote, RT, Myers, JA. Biotic and abiotic drivers of plant–pollinator community assembly across wildfire gradients. J Ecol. 2020; 00: 1– 14. https://doi.org/10.1111/1365-2745.13530 . Accessed at <https://github.com/globalbioticinteractions/lamanna2020/archive/f8f0791ae6261bf65eee5156413c5c3a370a4359.zip> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Drosophila,Drosophila,,,NA,NA,"Ollerton, J., Trunschke, J. ., Havens, K. ., Landaverde-González, P. ., Keller, A. ., Gilpin, A.-M. ., Rodrigo Rech, A. ., Baronio, G. J. ., Phillips, B. J., Mackin, C. ., Stanley, D. A., Treanore, E. ., Baker, E. ., Rotheray, E. L., Erickson, E. ., Fornoff, F. ., Brearley, F. Q. ., Ballantyne, G. ., Iossa, G. ., Stone, G. N., Bartomeus, I. ., Stockan, J. A., Leguizamón, J., Prendergast, K. ., Rowley, L., Giovanetti, M., de Oliveira Bueno, R., Wesselingh, R. A., Mallinger, R., Edmondson, S., Howard, S. R., Leonhardt, S. D., Rojas-Nossa, S. V., Brett, M., Joaqui, T., Antoniazzi, R., Burton, V. J., Feng, H.-H., Tian, Z.-X., Xu, Q., Zhang, C., Shi, C.-L., Huang, S.-Q., Cole, L. J., Bendifallah, L., Ellis, E. E., Hegland, S. J., Straffon Díaz, S., Lander, T. A. ., Mayr, A. V., Dawson, R. ., Eeraerts, M. ., Armbruster, W. S. ., Walton, B. ., Adjlane, N. ., Falk, S. ., Mata, L. ., Goncalves Geiger, A. ., Carvell, C. ., Wallace, C. ., Ratto, F. ., Barberis, M. ., Kahane, F. ., Connop, S. ., Stip, A. ., Sigrist, M. R. ., Vereecken, N. J. ., Klein, A.-M., Baldock, K. ., & Arnold, S. E. J. . (2022). Pollinator-flower interactions in gardens during the COVID-19 pandemic lockdown of 2020. Journal of Pollination Ecology, 31, 87–96. https://doi.org/10.26786/1920-7603(2022)695. Accessed at <https://github.com/globalbioticinteractions/ollerton2022/archive/7eb71e8e5026ec08c04a69a09860f8927061a8fd.zip> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Metamitobates,Metamitobates,,,NA,NA,"Ollerton, J., Trunschke, J. ., Havens, K. ., Landaverde-González, P. ., Keller, A. ., Gilpin, A.-M. ., Rodrigo Rech, A. ., Baronio, G. J. ., Phillips, B. J., Mackin, C. ., Stanley, D. A., Treanore, E. ., Baker, E. ., Rotheray, E. L., Erickson, E. ., Fornoff, F. ., Brearley, F. Q. ., Ballantyne, G. ., Iossa, G. ., Stone, G. N., Bartomeus, I. ., Stockan, J. A., Leguizamón, J., Prendergast, K. ., Rowley, L., Giovanetti, M., de Oliveira Bueno, R., Wesselingh, R. A., Mallinger, R., Edmondson, S., Howard, S. R., Leonhardt, S. D., Rojas-Nossa, S. V., Brett, M., Joaqui, T., Antoniazzi, R., Burton, V. J., Feng, H.-H., Tian, Z.-X., Xu, Q., Zhang, C., Shi, C.-L., Huang, S.-Q., Cole, L. J., Bendifallah, L., Ellis, E. E., Hegland, S. J., Straffon Díaz, S., Lander, T. A. ., Mayr, A. V., Dawson, R. ., Eeraerts, M. ., Armbruster, W. S. ., Walton, B. ., Adjlane, N. ., Falk, S. ., Mata, L. ., Goncalves Geiger, A. ., Carvell, C. ., Wallace, C. ., Ratto, F. ., Barberis, M. ., Kahane, F. ., Connop, S. ., Stip, A. ., Sigrist, M. R. ., Vereecken, N. J. ., Klein, A.-M., Baldock, K. ., & Arnold, S. E. J. . (2022). Pollinator-flower interactions in gardens during the COVID-19 pandemic lockdown of 2020. Journal of Pollination Ecology, 31, 87–96. https://doi.org/10.26786/1920-7603(2022)695. Accessed at <https://github.com/globalbioticinteractions/ollerton2022/archive/7eb71e8e5026ec08c04a69a09860f8927061a8fd.zip> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Anthrenus,Anthrenus,,,NA,NA,"Ollerton, J., Trunschke, J. ., Havens, K. ., Landaverde-González, P. ., Keller, A. ., Gilpin, A.-M. ., Rodrigo Rech, A. ., Baronio, G. J. ., Phillips, B. J., Mackin, C. ., Stanley, D. A., Treanore, E. ., Baker, E. ., Rotheray, E. L., Erickson, E. ., Fornoff, F. ., Brearley, F. Q. ., Ballantyne, G. ., Iossa, G. ., Stone, G. N., Bartomeus, I. ., Stockan, J. A., Leguizamón, J., Prendergast, K. ., Rowley, L., Giovanetti, M., de Oliveira Bueno, R., Wesselingh, R. A., Mallinger, R., Edmondson, S., Howard, S. R., Leonhardt, S. D., Rojas-Nossa, S. V., Brett, M., Joaqui, T., Antoniazzi, R., Burton, V. J., Feng, H.-H., Tian, Z.-X., Xu, Q., Zhang, C., Shi, C.-L., Huang, S.-Q., Cole, L. J., Bendifallah, L., Ellis, E. E., Hegland, S. J., Straffon Díaz, S., Lander, T. A. ., Mayr, A. V., Dawson, R. ., Eeraerts, M. ., Armbruster, W. S. ., Walton, B. ., Adjlane, N. ., Falk, S. ., Mata, L. ., Goncalves Geiger, A. ., Carvell, C. ., Wallace, C. ., Ratto, F. ., Barberis, M. ., Kahane, F. ., Connop, S. ., Stip, A. ., Sigrist, M. R. ., Vereecken, N. J. ., Klein, A.-M., Baldock, K. ., & Arnold, S. E. J. . (2022). Pollinator-flower interactions in gardens during the COVID-19 pandemic lockdown of 2020. Journal of Pollination Ecology, 31, 87–96. https://doi.org/10.26786/1920-7603(2022)695. Accessed at <https://github.com/globalbioticinteractions/ollerton2022/archive/7eb71e8e5026ec08c04a69a09860f8927061a8fd.zip> on 05 May 2025."
Achillea millefolium,flowersVisitedBy,Lauxania,Lauxania,,,NA,NA,"Ollerton, J., Trunschke, J. ., Havens, K. ., Landaverde-González, P. ., Keller, A. ., Gilpin, A.-M. ., Rodrigo Rech, A. ., Baronio, G. J. ., Phillips, B. J., Mackin, C. ., Stanley, D. A., Treanore, E. ., Baker, E. ., Rotheray, E. L., Erickson, E. ., Fornoff, F. ., Brearley, F. Q. ., Ballantyne, G. ., Iossa, G. ., Stone, G. N., Bartomeus, I. ., Stockan, J. A., Leguizamón, J., Prendergast, K. ., Rowley, L., Giovanetti, M., de Oliveira Bueno, R., Wesselingh, R. A., Mallinger, R., Edmondson, S., Howard, S. R., Leonhardt, S. D., Rojas-Nossa, S. V., Brett, M., Joaqui, T., Antoniazzi, R., Burton, V. J., Feng, H.-H., Tian, Z.-X., Xu, Q., Zhang, C., Shi, C.-L., Huang, S.-Q., Cole, L. J., Bendifallah, L., Ellis, E. E., Hegland, S. J., Straffon Díaz, S., Lander, T. A. ., Mayr, A. V., Dawson, R. ., Eeraerts, M. ., Armbruster, W. S. ., Walton, B. ., Adjlane, N. ., Falk, S. ., Mata, L. ., Goncalves Geiger, A. ., Carvell, C. ., Wallace, C. ., Ratto, F. ., Barberis, M. ., Kahane, F. ., Connop, S. ., Stip, A. ., Sigrist, M. R. ., Vereecken, N. J. ., Klein, A.-M., Baldock, K. ., & Arnold, S. E. J. . (2022). Pollinator-flower interactions in gardens during the COVID-19 pandemic lockdown of 2020. Journal of Pollination Ecology, 31, 87–96. https://doi.org/10.26786/1920-7603(2022)695. Accessed at <https://github.com/globalbioticinteractions/ollerton2022/archive/7eb71e8e5026ec08c04a69a09860f8927061a8fd.zip> on 05 May 2025."
Achillea millefolium,pollinatedBy,Synagrops,Synagrops,,,NA,NA,Weiner2014
Achillea millefolium,pollinatedBy,Gymnosoma,Gymnosoma,,,NA,NA,Thompson2018
Achillea millefolium,pollinatedBy,Heterocera,Heterocera,,,NA,NA,Simanonok2014
Achillea millefolium,pollinatedBy,Tachinusini,Tachinusini,tribe,,NA,NA,Simanonok2014
Achillea millefolium,pollinatedBy,Xenosphecini,,remove,,NA,NA,Simanonok2014
Achillea millefolium,pollinatedBy,Syrphusribesii,Syrphus ribesii,species,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Drymeia,Drymeia,genus,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Hiatomyiaspp.m,Hiatomyia,genus,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Thricopsc.f.septentrionalis,Thricopsc septentrionalis,species,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Crinurina,Crinurina,genus,now a synonym for Lasiomma,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Rhamphomyiaempis,Rhamphomyia empis,species,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Eanaosseana,Eana osseana,species,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Phaoniamonticola,Phaonia monticola,species,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Thricopsc.f.innocuus,Thricopsc innocuus,species,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Chaetovoriaseriata,Chaetovoria seriata,species,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Eristalistenax,Eristalis tenax,species,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Anthomyia,Anthomyia,genus,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Drymeiac.f.minor,Drymeiac minor,species,,NA,NA,Olito2015
Achillea millefolium,pollinatedBy,Pipizella,Pipizella,,,NA,NA,Fruend2010
Achillea millefolium,pollinatedBy,Anthaxia,Anthaxia,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Cerceris,Cerceris,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Polites mystic sonora,Polites mystic sonora,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Heriades,Heriades,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Hemipenthes,Hemipenthes,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Systoechus,Systoechus,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Parnopes,Parnopes,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Chelosia,Chelosia,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Eupeodes,Eupeodes,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Osmia,Osmia,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Asemosyrphus,Asemosyrphus,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Hedychridium,Hedychridium,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Allograpta,Allograpta,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Toxomerus,Toxomerus,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Cosmosalia,Cosmosalia,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Metasyrphus,Metasyrphus,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Sphaerophora,Sphaerophora,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Agapostemon,Agapostemon,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Coecoxys,Coecoxys,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Osmia1b,Osmia,genus,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Anthidium,Anthidium,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Bombylius,Bombylius,genus,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Dianthidium,Dianthidium,,,NA,NA,Alarcon2008
Achillea millefolium,pollinatedBy,Merodon,Merodon,,,48.899967,17.61,doi:10.1111/ele.13892
Achillea millefolium,pollinatedBy,Lasiomma,Lasiomma,,,50.150308,17.379851,doi:10.1371/journal.pone.0263576
Achillea millefolium,pollinatedBy,Thymelicus,Thymelicus,,,50.150308,17.379851,doi:10.1371/journal.pone.0263576
Achillea millefolium,pollinatedBy,Thricops,Thricops,,,67.684,24.857,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Sarcophaga,Sarcophaga,,,65.35,26.733,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Potamia,Potamia,,,65.35,26.733,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Delia,Delia,,,61.119,24.94,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Sicus,Sicus,,,67.59,24.946,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Fannia,Fannia,,,61.055,25.042,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Musca,Musca,,,65.35,26.733,doi:10.1038/s41559-022-01928-3
Achillea millefolium,pollinatedBy,Ectophasia,Ectophasia,,,46.4904,22.8231,doi:10.1093/aobpla/ply068
Chamaenerion angustifolium angustifolium,pollinatedBy,Pieris,Pieris,,,56.066667,10.233333,"Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark."
Chamaenerion angustifolium angustifolium,pollinatedBy,Andreana sp1 M_PL_046,Andrena,genus,,56.066667,10.233333,"Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark."
Chamaenerion angustifolium angustifolium,pollinatedBy,Erynnis,Erynnis,,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Chamaenerion angustifolium angustifolium,pollinatedBy,Dolichovespula,Dolichovespula,,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Chamaenerion angustifolium angustifolium,pollinatedBy,Prosopis,Prosopis,,,38.841784,-105.043821,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
